PubChem ID,Name,Canonical SMILES
CHEMBL1087421,CHEMBL1087421,COC1=C(C=C2C(=C1)CCN=C2C3=CC(=C(C=C3)Cl)Cl)Cl
CHEMBL1088633,CHEMBL1088633,COC1=C(C=C2C(=C1)CCN=C2C3=CC(=CC=C3)Cl)Cl
CHEMBL1090360,CHEMBL1090360,C1COCCN1C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7
CHEMBL1688215,CHEMBL1688215,C1=CC2=C(C=C1C3=NC(=NC=C3)N)NN=C2N
CHEMBL1765781,CHEMBL1765781,CNC1=NC(=CN=C1)C2=CNC(=O)C(=C2)NC(=O)C3=CC=C(C=C3)N4CCCC4CN5CCCC5
CHEMBL1788116,CHEMBL1788116,C1=CC=C2C(=C1)NC(=C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4)S2.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
CHEMBL1929238,CHEMBL1929238,CC(C)(C)C1=CC(=C(S1)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C(=O)N3CCC(=O)N(CC3)CCN(C)C
CHEMBL1933552,CHEMBL1933552,CC1CCC(CN1)N2CCC3(C2)CN(C4=CC=CC=C34)C(=O)C5=CC6=C(N5)C=C(C=C6)F
CHEMBL202930,CHEMBL202930,COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=CC4=CC=CN4)C(=O)N3)O
CHEMBL204420,CHEMBL204420,CN1CCN(C(C1)C(=O)N)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL206783,CHEMBL206783,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCCC4C(=O)N
CHEMBL206955,CHEMBL206955,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)CN4CCCC4C(=O)N
CHEMBL207037,CHEMBL207037,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CC(C4)C(=O)N
CHEMBL207130,CHEMBL207130,CN1CCC(CC1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL207235,CHEMBL207235,COC1CC(N(C1)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC)C(=O)N
CHEMBL207246,CHEMBL207246,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCC4C(=O)N
CHEMBL207445,CHEMBL207445,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C(CCOC)C(=O)N
CHEMBL207584,CHEMBL207584,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCC4C(=O)N
CHEMBL207674,CHEMBL207674,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCOCC4C(=O)N
CHEMBL207687,CHEMBL207687,CC(C(=O)N)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL207718,CHEMBL207718,CN1CC(C1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL207815,CHEMBL207815,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C4(CN(C4)CCOC)C(=O)N
CHEMBL208048,CHEMBL208048,CC(C)N(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C(C)C(=O)N
CHEMBL208118,CHEMBL208118,CC(C(=O)N)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL208286,CHEMBL208286,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C(CO)C(=O)N
CHEMBL208292,CHEMBL208292,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCC4C(=O)N
CHEMBL208637,CHEMBL208637,CCOC1=C(C(=CC(=N1)NC(=O)C)N)C#N
CHEMBL210032,CHEMBL210032,CC(=O)NC1=NC(=C(C(=C1)N)C#N)C2=CC=CC=C2
CHEMBL210618,CHEMBL210618,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N
CHEMBL210928,CHEMBL210928,CCOC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)Cl
CHEMBL210963,CHEMBL210963,CCOC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)C#N
CHEMBL211003,CHEMBL211003,CC(C(=O)NC)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL212382,CHEMBL212382,CC(C)(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=C(C=C(C=C4)F)F
CHEMBL212968,CHEMBL212968,CC(C)(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC(=C(C=C4F)F)F
CHEMBL213423,CHEMBL213423,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC(=C(C=C4F)F)F
CHEMBL213451,CHEMBL213451,CCNC1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC=C(C=C4)F
CHEMBL214198,CHEMBL214198,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(NN=C3)C4=C(C=CC(=C4)F)F
CHEMBL215652,CHEMBL215652,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=C(C=C(C=C4)F)Cl
